Unnamed: 0,Name,Age,Overall rating,Potential,Team & Contract,ID,Height,Weight,foot,Best overall,Best position,Growth,Joined,Loan date end,Value,Wage,Release clause,Total attacking,Crossing,Finishing,Heading accuracy,Short passing,Volleys,Total skill,Dribbling,Curve,FK Accuracy,Long passing,Ball control,Total movement,Acceleration,Sprint speed,Agility,Reactions,Balance,Total power,Shot power,Jumping,Stamina,Strength,Long shots,Total mentality,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Total defending,Marking,Standing tackle,Sliding tackle,Total goalkeeping,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes,Total stats,Base stats,Weak foot,Skill moves,Attacking work rate,Defensive work rate,International reputation,Body type,Pace / Diving,Shooting / Handling,Passing / Kicking,Dribbling / Reflexes,Defending / Pace,Physical / Positioning
,M. Hummels CB,28,90,90,"FC Bayern München
2016 ~ 2021",178603,"191cm / 6'3""",92kg / 203lbs,Right,87,CB,0,"Jul 1, 2016",,€62.5M,€225K,€103.1M,350,64,55,89,82,60,352,68,65,53,85,81,343,62,69,64,90,58,341,71,68,66,85,51,364,69,92,56,79,68,91,271,89,92,90,42,15,6,10,5,6,2063,439,3,2,High,Medium,4,Normal (185+),66,58,76,72,91,76
,G. Higuaín ST,29,90,90,"Juventus
2016 ~ 2021",167664,"186cm / 6'1""",89kg / 196lbs,Right,87,ST,0,"Jul 26, 2016",,€77M,€275K,€127.1M,408,68,91,86,75,88,364,84,74,62,59,85,390,78,80,75,88,69,406,88,79,72,85,82,306,50,20,92,74,70,86,52,12,22,18,39,5,12,7,5,10,1965,418,4,3,High,Medium,4,Normal (170-185),79,87,70,83,25,74
,Sergio Ramos CB,31,90,90,"Real Madrid
2005 ~ 2020",155862,"184cm / 6'0""",82kg / 181lbs,Right,87,CB,0,"Aug 1, 2005",,€52M,€300K,€106.6M,361,66,60,91,78,66,357,61,73,67,72,84,376,75,77,79,85,60,392,79,93,84,81,55,357,84,90,52,63,68,80,265,84,90,91,46,11,8,9,7,11,2154,452,3,3,High,Medium,4,Normal (170-185),76,63,71,71,88,83
,P. Dybala CAM ST,23,89,94,"Juventus
2015 ~ 2022",211110,"177cm / 5'10""",75kg / 165lbs,Left,87,CAM,5,"Jul 1, 2015",,€89M,€200K,€153.5M,409,82,84,68,87,88,436,92,88,88,75,93,432,88,84,91,84,85,393,82,75,83,65,88,336,48,32,84,86,86,84,54,14,20,20,26,5,4,4,5,8,2086,438,3,4,High,Medium,3,Normal (170-185),86,85,84,91,25,67
,J. Oblak GK,24,89,93,"Atlético Madrid
2014 ~ 2021",200389,"189cm / 6'2""",84kg / 185lbs,Right,87,GK,4,"Jul 17, 2014",,€62M,€80K,€131.8M,81,13,11,15,29,13,81,12,13,14,26,16,304,43,60,67,85,49,229,22,76,41,78,12,130,34,19,11,55,11,55,44,14,12,18,428,85,91,77,87,88,1297,480,3,1,Medium,Medium,3,Normal (185+),85,91,77,88,52,87
,T. Courtois GK,25,89,92,"Chelsea
2011 ~ 2019",192119,"199cm / 6'6""",94kg / 207lbs,Left,86,GK,3,"Jul 26, 2011",,€59M,€190K,€113.6M,86,14,14,13,33,12,110,13,19,20,35,23,284,46,52,61,80,45,229,36,68,38,70,17,122,23,15,13,44,27,52,45,11,18,16,422,86,90,72,86,88,1298,471,3,1,Medium,Medium,4,Unique,86,90,72,88,49,86
,L. Modrić CM CDM,31,89,89,"Real Madrid
2012 ~ 2020",177003,"172cm / 5'8""",66kg / 146lbs,Right,86,CM,0,"Aug 1, 2012",,€57M,€325K,€116.9M,370,78,71,55,92,74,418,86,79,77,84,92,421,75,71,93,88,94,362,73,67,82,58,82,389,62,78,79,90,80,84,219,66,80,73,52,13,9,7,14,9,2231,460,4,4,High,Medium,4,Lean (170-185),73,75,86,89,72,65
,David Silva CAM CM,31,89,89,"Manchester City
2010 ~ 2020",168542,"173cm / 5'8""",67kg / 148lbs,Left,86,CAM,0,"Jul 14, 2010",,€58.5M,€275K,€108.2M,382,83,73,54,92,80,417,87,82,76,81,91,403,72,65,92,85,89,347,71,66,81,56,73,353,55,46,86,93,73,92,106,27,50,29,5,1,1,1,1,1,2013,422,2,4,High,Medium,4,Normal (170-185),68,74,87,89,41,63
,S. Agüero ST,29,89,89,"Manchester City
2011 ~ 2020",153079,"173cm / 5'8""",70kg / 154lbs,Right,87,CF,0,"Jul 28, 2011",,€66.5M,€325K,€123M,401,70,91,74,81,85,395,89,82,72,63,89,439,90,83,86,89,91,404,88,80,77,76,83,344,63,24,91,83,83,90,45,13,20,12,59,13,15,6,11,14,2087,436,4,4,High,Medium,4,Stocky (170-185),86,88,76,89,23,74
,G. Chiellini CB,32,89,89,"Juventus
2005 ~ 2020",138956,"187cm / 6'2""",85kg / 187lbs,Left,86,CB,0,"Jul 1, 2005",,€38M,€225K,€62.7M,279,58,33,84,59,45,265,58,60,31,59,57,351,68,78,59,82,64,375,78,89,68,91,49,308,92,88,28,50,50,82,274,92,92,90,15,3,3,2,4,3,1867,410,2,2,Medium,High,4,Normal (185+),74,46,56,59,90,85
,G. Buffon GK,39,89,89,"Juventus
2001 ~ 2018",1179,"192cm / 6'4""",92kg / 203lbs,Right,86,GK,0,"Jul 1, 2001",,€4.5M,€110K,€7.4M,95,13,15,13,37,17,122,26,20,13,35,28,276,49,43,55,80,49,235,39,75,39,69,13,150,38,28,12,50,22,70,32,10,11,11,425,89,88,74,90,84,1335,471,2,1,Medium,Medium,4,Lean (185+),89,88,74,84,46,90
,N. Kanté CDM CM,26,88,90,"Chelsea
2016 ~ 2021",215914,"168cm / 5'6""",68kg / 150lbs,Right,85,CDM,2,"Jul 16, 2016",,€59.5M,€250K,€114.5M,328,68,65,54,85,56,337,79,49,49,81,79,422,82,80,83,87,90,391,71,79,95,77,69,385,90,91,71,79,54,85,249,75,89,85,54,15,12,10,7,10,2166,468,3,3,Medium,High,3,Normal (170-),81,66,76,80,81,84
,H. Kane ST,23,88,91,"Tottenham Hotspur
2010 ~ 2024",202126,"188cm / 6'2""",86kg / 190lbs,Right,86,ST,3,"Jul 1, 2010",,€76.5M,€200K,€147.3M,406,75,92,83,79,77,387,80,75,68,80,84,372,72,75,73,90,62,417,87,70,88,87,85,369,76,35,92,80,86,89,115,41,36,38,54,8,10,11,14,11,2120,447,4,3,High,High,3,Normal (185+),74,89,78,80,42,84
,P. Pogba CM CDM,24,88,92,"Manchester United
2016 ~ 2021",195864,"191cm / 6'3""",84kg / 185lbs,Right,85,CM,4,"Aug 9, 2016",,€76M,€250K,€146.3M,400,80,73,75,87,85,430,87,84,82,88,89,376,75,78,76,84,63,439,90,85,91,91,82,395,78,70,83,88,76,87,202,64,70,68,20,5,6,2,4,3,2262,484,4,5,High,Low,4,Lean (185+),77,79,86,85,69,88
,A. Griezmann ST RW LW,26,88,89,"Atlético Madrid
2014 ~ 2023",194765,"175cm / 5'9""",71kg / 157lbs,Left,86,ST,1,"Jul 29, 2014",,€71M,€150K,€150.9M,424,82,88,86,81,87,407,87,84,75,75,86,433,87,86,90,90,80,392,81,87,78,64,82,344,69,35,91,77,72,86,90,32,30,28,63,14,8,14,13,14,2153,444,3,4,High,High,4,Lean (170-185),86,85,79,87,37,70
,C. Eriksen CAM RM CM,25,88,91,"Tottenham Hotspur
2013 ~ 2020",190460,"182cm / 6'0""",76kg / 168lbs,Right,86,CAM,3,"Aug 30, 2013",,€74.5M,€200K,€143.4M,384,87,81,52,90,74,431,84,86,86,86,89,399,77,74,80,86,82,374,84,55,91,57,87,342,46,56,83,90,67,87,118,39,57,22,43,9,14,7,7,6,2091,440,5,4,High,Medium,3,Lean (170-185),75,82,88,85,47,63
,Thiago CM CAM CDM,26,88,89,"FC Bayern München
2013 ~ 2021",189509,"174cm / 5'9""",70kg / 154lbs,Right,86,CM,1,"Jul 14, 2013",,€68.5M,€225K,€118.2M,380,72,69,58,91,90,434,90,85,77,90,92,406,78,68,90,84,86,366,75,75,75,59,82,379,57,78,83,86,75,83,178,49,64,65,46,6,11,7,9,13,2189,448,3,5,Medium,Medium,3,Normal (170-185),73,75,85,90,62,63
,A. Sánchez LW ST LM,28,88,88,"Manchester United
2018 ~ 2022",184941,"169cm / 5'7""",62kg / 137lbs,Right,85,LW,0,"Jan 22, 2018",,€60M,€325K,€111M,397,81,84,70,79,83,407,90,79,78,73,87,438,88,84,92,87,87,409,84,85,86,72,82,374,80,50,85,82,77,86,109,30,44,35,60,10,10,15,12,13,2194,458,3,4,High,Medium,4,Normal (170-),86,83,79,89,43,78
,D. Godín CB,31,88,88,"Atlético Madrid
2010 ~ 2019",182493,"187cm / 6'2""",79kg / 174lbs,Right,86,CB,0,"Aug 1, 2010",,€40M,€120K,€82M,315,55,42,92,79,47,299,53,49,51,70,76,340,64,70,63,85,58,346,67,89,67,80,43,326,88,88,48,52,50,82,262,87,86,89,49,6,8,15,5,15,1937,410,3,2,Medium,High,3,Lean (185+),67,48,65,63,88,79
,E. Cavani ST,30,88,88,"Paris Saint Germain
2013 ~ 2020",179813,"185cm / 6'1""",77kg / 170lbs,Right,85,ST,0,"Jul 16, 2013",,€57M,€200K,€105.5M,407,70,85,89,78,85,365,80,77,76,50,82,384,75,78,81,91,59,420,86,88,92,75,79,386,84,48,93,77,84,84,96,24,45,27,53,12,5,13,13,10,2111,437,3,3,High,High,4,Lean (185+),77,84,72,80,42,82
,G. Bale RW ST LW,27,88,88,"Real Madrid
2013 ~ 2022",173731,"185cm / 6'1""",81kg / 179lbs,Left,87,ST,0,"Sep 2, 2013",,€62M,€375K,€127.1M,424,86,87,86,85,80,423,87,86,85,80,85,416,93,95,78,85,65,422,91,85,76,80,90,365,65,59,86,79,76,85,158,51,55,52,52,15,15,11,5,6,2260,481,3,4,High,Medium,4,Lean (170-185),94,87,83,84,57,76
,H. Lloris GK,30,88,88,"Tottenham Hotspur
2012 ~ 2022",167948,"188cm / 6'2""",82kg / 181lbs,Left,85,GK,0,"Aug 1, 2012",,€38M,€160K,€70.3M,94,13,10,10,50,11,115,10,11,10,50,34,320,65,62,55,84,54,195,23,74,41,43,14,138,31,27,10,30,40,61,40,12,10,18,413,88,84,68,83,90,1315,476,1,1,Medium,Medium,4,Lean (185+),88,84,68,90,63,83
,S. Handanovič GK,32,88,88,"Inter
2012 ~ 2021",162835,"193cm / 6'4""",92kg / 203lbs,Right,86,GK,0,"Jul 1, 2012",,€34M,€120K,€57.8M,80,12,10,10,36,12,88,12,12,14,34,16,272,51,55,47,83,36,231,22,78,41,71,19,123,25,22,12,41,23,62,40,17,10,13,420,87,86,69,89,89,1254,473,2,1,Medium,Medium,3,Normal (185+),87,86,69,89,53,89
,M. Salah RW,25,87,90,"Liverpool
2017 ~ 2023",209331,"175cm / 5'9""",71kg / 157lbs,Left,87,CF,3,"Jul 1, 2017",,€63M,€200K,€124.4M,379,77,88,59,82,73,385,88,82,60,67,88,450,94,93,87,88,88,389,77,70,85,76,81,350,63,55,89,82,61,89,121,37,43,41,62,14,14,9,11,14,2136,461,3,4,High,Medium,3,Normal (170-185),93,82,78,88,45,75
,M. Icardi ST,24,87,91,"Inter
2013 ~ 2021",201399,"181cm / 5'11""",75kg / 165lbs,Right,85,ST,4,"Jul 9, 2013",,€66.5M,€120K,€118M,385,46,91,90,73,85,313,76,58,45,54,80,398,78,80,76,88,76,397,84,92,74,77,70,318,56,22,92,66,82,85,62,18,24,20,43,13,9,5,7,9,1916,404,4,3,Medium,Low,3,Normal (170-185),79,85,61,78,28,73
"FIFA 18 Sep 12, 2018Joined Jul 1, 2012  Jul 18, 2012",M. Verratti CM CDM,24,87,90,"Paris Saint Germain
2012 ~ 2021",199556,"165cm / 5'5""",60kg / 132lbs,Right,85,CM,3,"Jul 18, 2012",,€63M,€130K,€121.3M,341,72,60,55,90,64,404,90,73,64,89,88,399,69,62,87,87,94,311,56,64,77,56,58,398,89,86,71,88,64,91,239,76,84,79,64,12,12,15,15,10,2156,445,4,3,Medium,High,3,Normal (170-),65,60,84,89,79,68
,J. Rodríguez CAM CM RM,25,87,90,"FC Bayern München
Jun 30, 2019 On loan",198710,"180cm / 5'11""",75kg / 165lbs,Left,84,CAM,3,"Jul 22, 2014","Jun 30, 2019",€63M,€170K,€0,409,88,83,62,86,90,426,84,87,86,82,87,388,75,70,83,85,75,369,86,54,68,70,91,368,64,55,80,88,81,87,112,27,41,44,64,15,15,15,5,14,2136,437,3,4,Medium,Medium,4,Normal (170-185),72,85,86,84,42,68
,L. Insigne LW,26,87,88,"Napoli
2010 ~ 2022",198219,"163cm / 5'4""",59kg / 130lbs,Right,87,CAM,1,"Jul 1, 2010",,€59M,€130K,€104.7M,375,85,75,56,85,74,424,90,87,77,78,92,452,94,86,96,83,93,333,75,53,77,44,84,291,34,26,83,87,61,83,62,16,24,22,45,8,4,14,9,10,1982,417,3,4,High,Medium,3,Normal (170-),90,76,84,91,25,51
,M. ter Stegen GK,25,87,90,"FC Barcelona
2014 ~ 2022",192448,"187cm / 6'2""",85kg / 187lbs,Right,86,GK,3,"Jul 1, 2014",,€44.5M,€180K,€94.6M,84,15,14,11,30,14,103,17,18,12,38,18,252,38,50,37,84,43,225,22,79,35,79,10,158,43,22,11,57,25,62,33,10,13,10,430,86,84,87,84,89,1285,475,4,1,Medium,Medium,3,Normal (185+),86,84,87,89,45,84
,Sergio Busquets CDM CM,28,87,87,"FC Barcelona
2008 ~ 2021",189511,"189cm / 6'2""",76kg / 168lbs,Right,84,CDM,0,"Sep 1, 2008",,€41M,€250K,€84.1M,329,62,67,68,88,44,376,78,66,68,79,85,307,50,52,65,85,55,347,61,66,88,78,54,393,85,87,77,84,60,88,245,79,86,80,48,5,8,13,9,13,2045,433,3,3,Medium,Medium,4,Lean (185+),51,62,79,78,82,81
,Jordi Alba LB,28,87,87,"FC Barcelona
2012 ~ 2020",189332,"170cm / 5'7""",68kg / 150lbs,Left,85,LWB,0,"Jul 1, 2012",,€40M,€250K,€82M,370,85,73,69,83,60,378,80,77,64,74,83,444,93,93,90,82,86,361,64,81,90,60,66,367,75,85,78,70,59,76,251,83,84,84,60,13,15,13,6,13,2231,476,3,3,High,Medium,3,Normal (170-),93,69,78,82,82,72
,Coutinho LW LM RM CM,25,87,90,"FC Barcelona
2018 ~ 2023",189242,"172cm / 5'8""",68kg / 150lbs,Right,86,CAM,3,"Jan 6, 2018",,€63M,€275K,€133.9M,364,79,76,48,86,75,426,89,84,84,81,88,432,88,77,92,83,92,370,83,59,80,61,87,326,55,30,84,87,70,85,108,24,44,40,48,12,7,9,14,6,2074,434,4,4,High,High,3,Lean (170-185),82,80,84,89,35,64
,P. Aubameyang ST,28,87,87,"Arsenal
2018 ~ 2021",188567,"187cm / 6'2""",80kg / 176lbs,Right,84,ST,0,"Jan 31, 2018",,€52M,€225K,€98.8M,406,77,87,79,77,86,377,79,78,74,64,82,422,94,95,77,86,70,390,81,77,78,76,78,333,43,48,89,77,76,84,89,28,25,36,48,6,9,15,9,9,2065,441,4,3,Medium,Low,3,Lean (185+),95,84,75,80,37,70
,J. Boateng CB,28,87,87,"FC Bayern München
2011 ~ 2021",183907,"192cm / 6'4""",90kg / 198lbs,Right,84,CB,0,"Jul 14, 2011",,€41M,€170K,€67.7M,316,69,34,85,75,53,304,67,56,31,80,70,343,71,79,58,82,53,377,79,75,74,91,58,332,82,81,47,76,46,86,264,86,90,88,45,7,12,15,6,5,1981,434,4,2,Medium,Medium,4,Stocky (185+),75,50,72,67,86,84
,Marcelo LB,29,87,87,"Real Madrid
2007 ~ 2022",176676,"174cm / 5'9""",80kg / 176lbs,Left,84,LWB,0,"Jan 1, 2007",,€38M,€250K,€77.9M,366,90,67,73,82,54,397,86,80,67,76,88,404,79,79,77,87,82,384,83,77,81,77,66,377,84,84,75,75,59,85,250,78,85,87,36,12,5,5,5,9,2214,475,4,4,High,Medium,4,Normal (170-185),79,69,80,86,82,79
,M. Özil CAM RW,28,87,87,"Arsenal
2013 ~ 2021",176635,"180cm / 5'11""",76kg / 168lbs,Left,84,CAM,0,"Sep 2, 2013",,€51M,€200K,€96.9M,375,82,73,54,89,77,419,85,84,78,83,89,382,75,69,83,85,70,325,70,52,71,57,75,312,48,24,82,91,67,78,57,22,16,19,50,6,14,10,6,14,1920,398,2,4,Medium,Low,4,Lean (170-185),72,73,86,85,24,58
,D. Mertens CF ST,30,87,87,"Napoli
2013 ~ 2020",175943,"169cm / 5'7""",61kg / 134lbs,Right,87,CAM,0,"Jul 1, 2013",,€48.5M,€130K,€82.5M,349,77,85,35,82,70,415,91,82,79,74,89,454,93,87,94,88,92,340,80,60,77,42,81,343,59,36,86,83,79,81,110,30,40,40,39,7,10,8,10,4,2050,434,4,4,High,Low,3,Normal (170-),90,82,80,91,36,55
,M. Hamšík CM,29,87,87,"Napoli
2007 ~ 2020",171877,"183cm / 6'0""",79kg / 174lbs,Right,85,CM,0,"Jul 1, 2007",,€48.5M,€130K,€82.5M,397,78,78,74,88,79,407,86,80,72,82,87,377,72,75,76,88,66,390,82,71,85,69,83,372,56,72,88,86,70,84,195,60,73,62,46,8,6,4,14,14,2184,461,5,3,High,Medium,3,Normal (170-185),74,80,84,84,68,71
,Thiago Silva CB,32,87,87,"Paris Saint Germain
2012 ~ 2020",164240,"183cm / 6'0""",82kg / 181lbs,Right,84,CB,0,"Jul 1, 2012",,€29M,€130K,€53.7M,320,60,38,80,79,63,354,66,61,67,81,79,368,70,73,74,83,68,393,74,93,74,81,71,366,77,89,59,72,69,81,262,89,87,86,45,9,12,5,9,10,2108,439,3,3,High,High,4,Normal (170-185),72,56,73,72,87,79
,Piqué CB,30,87,87,"FC Barcelona
2008 ~ 2022",152729,"194cm / 6'4""",85kg / 187lbs,Right,84,CB,0,"Jul 1, 2008",,€37.5M,€225K,€76.9M,342,57,64,83,81,57,318,59,58,43,80,78,312,55,73,58,84,42,336,62,74,66,83,51,349,72,88,58,62,69,86,259,86,87,86,58,10,11,14,15,8,1974,422,3,2,High,Medium,4,Normal (185+),65,61,69,65,86,76
,A. Robben RM RW,33,87,87,"FC Bayern München
2009 ~ 2019",9014,"180cm / 5'11""",80kg / 176lbs,Left,86,CAM,0,"Aug 28, 2009",,€30.5M,€170K,€50.3M,386,80,85,51,84,86,418,91,87,81,71,88,434,87,80,89,87,91,371,87,61,68,67,88,332,47,39,85,83,78,86,81,29,26,26,49,10,8,11,5,15,2071,435,2,4,High,Low,4,Normal (170-185),83,86,81,90,32,63
,Iniesta CM LM,33,87,87,"Vissel Kobe
2018 ~ 2021",41,"171cm / 5'7""",68kg / 150lbs,Right,87,CAM,0,"Jul 16, 2018",,€29.5M,€20K,€36.9M,367,77,70,54,92,74,420,90,80,70,86,94,389,70,68,79,88,84,296,65,47,55,58,71,373,58,66,84,94,71,89,170,57,57,56,45,6,13,6,13,7,2060,431,4,4,High,Medium,4,Normal (170-),69,70,87,90,58,57
,Casemiro CDM,25,86,89,"Real Madrid
2013 ~ 2021",200145,"185cm / 6'1""",84kg / 185lbs,Right,85,CDM,3,"Jul 11, 2013",,€47M,€225K,€99.9M,324,52,59,76,84,53,362,69,59,74,82,78,335,63,65,66,84,57,425,86,86,87,87,79,385,87,86,69,77,66,84,261,86,89,86,67,13,14,16,12,12,2159,452,3,2,Medium,High,3,Normal (185+),64,69,74,72,86,87
,Isco CM CAM,25,86,89,"Real Madrid
2013 ~ 2022",197781,"176cm / 5'9""",79kg / 174lbs,Right,87,CAM,3,"Jul 3, 2013",,€55M,€250K,€116.9M,366,73,85,55,88,65,429,91,86,74,84,94,409,78,75,87,79,90,354,73,64,71,59,87,370,58,66,83,87,76,86,140,25,64,51,51,10,8,12,15,6,2119,444,3,4,High,Medium,3,Normal (170-185),76,81,83,91,51,62
,R. Lukaku ST,24,86,90,"Manchester United
2017 ~ 2022",192505,"190cm / 6'3""",94kg / 207lbs,Left,84,ST,4,"Jul 10, 2017",,€59M,€200K,€113.6M,402,75,88,87,74,78,365,79,74,66,73,73,361,78,89,62,85,47,409,88,72,80,93,76,340,72,27,87,74,80,82,87,27,30,30,54,8,15,14,7,10,2018,436,4,3,Medium,Medium,3,Stocky (185+),84,85,74,74,34,85
,C. Immobile ST,27,86,86,"Lazio
2016 ~ 2021",192387,"185cm / 6'1""",85kg / 187lbs,Right,85,ST,0,"Jul 27, 2016",,€47.5M,€110K,€80.8M,387,55,90,81,74,87,336,83,70,51,49,83,393,81,85,77,87,63,393,86,77,77,77,76,351,77,40,91,65,78,81,96,31,33,32,47,6,8,15,12,6,2003,430,4,3,High,Medium,3,Normal (185+),83,86,63,82,39,77
,Alex Sandro LB LM,26,86,87,"Juventus
2015 ~ 2020",191043,"180cm / 5'11""",80kg / 176lbs,Left,84,LWB,1,"Aug 21, 2015",,€42.5M,€170K,€73.3M,366,86,55,76,81,68,371,82,78,59,71,81,416,84,88,79,86,79,404,80,79,93,80,72,364,82,82,70,70,60,82,246,78,84,84,40,7,7,9,12,5,2207,474,3,3,High,High,3,Normal (170-185),86,65,77,81,81,84
,T. Müller CF RW CAM ST,27,86,86,"FC Bayern München
2008 ~ 2021",189596,"186cm / 6'1""",75kg / 165lbs,Right,83,CF,0,"Aug 10, 2008",,€47.5M,€190K,€78.4M,413,79,87,82,81,84,364,75,81,59,68,81,392,76,77,76,91,72,392,77,81,90,67,77,352,57,58,93,84,60,83,116,31,41,44,52,6,7,11,14,14,2081,432,4,3,High,High,4,Lean (185+),77,82,78,78,46,71
,Azpilicueta CB,27,86,88,"Chelsea
2012 ~ 2020",184432,"178cm / 5'10""",78kg / 172lbs,Right,84,RB,2,"Aug 24, 2012",,€43.5M,€190K,€83.7M,334,80,46,76,81,51,354,69,68,58,80,79,391,77,79,75,87,73,366,68,76,88,74,60,369,82,85,62,74,66,78,265,89,89,87,43,13,9,10,6,5,2122,450,3,3,Medium,Medium,3,Normal (170-185),78,55,77,74,87,79
,L. Bonucci CB,30,86,86,"Milan
2017 ~ 2022",184344,"190cm / 6'3""",85kg / 187lbs,Right,84,CB,0,"Jul 14, 2017",,€33M,€160K,€56.1M,311,44,44,86,79,58,346,69,56,61,85,75,330,62,72,60,84,52,382,74,85,73,85,65,354,82,90,38,74,70,86,252,80,88,84,13,2,2,3,2,4,1988,430,3,2,Low,High,3,Lean (185+),68,56,70,70,85,81
,A. Vidal CDM CM,30,86,86,"FC Bayern München
2015 ~ 2019",181872,"180cm / 5'11""",75kg / 165lbs,Right,84,CDM,0,"Jul 28, 2015",,€33M,€160K,€54.5M,397,76,77,82,84,78,384,76,76,68,81,83,364,65,60,75,87,77,421,86,85,88,77,85,420,93,85,81,80,81,86,251,76,89,86,16,4,2,4,2,4,2253,468,4,3,High,High,4,Normal (170-185),62,81,80,79,83,83
