Unnamed: 0,Name,Age,Overall rating,Potential,Team & Contract,ID,Height,Weight,foot,Best overall,Best position,Growth,Joined,Loan date end,Value,Wage,Release clause,Total attacking,Crossing,Finishing,Heading accuracy,Short passing,Volleys,Total skill,Dribbling,Curve,FK Accuracy,Long passing,Ball control,Total movement,Acceleration,Sprint speed,Agility,Reactions,Balance,Total power,Shot power,Jumping,Stamina,Strength,Long shots,Total mentality,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Total defending,Marking,Standing tackle,Sliding tackle,Total goalkeeping,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes,Total stats,Base stats,Weak foot,Skill moves,Attacking work rate,Defensive work rate,International reputation,Body type,Pace / Diving,Shooting / Handling,Passing / Kicking,Dribbling / Reflexes,Defending / Pace,Physical / Positioning
,A. Sánchez ST LM RM,27,88,88,"Arsenal
2014 ~ 2018",184941,"169cm / 5'7""",62kg / 137lbs,Right,85,ST,0,"Jul 10, 2014",,€55M,€275K,€0,398,80,85,70,80,83,404,89,78,78,73,86,436,88,84,90,87,87,407,84,85,85,72,81,367,80,42,86,82,77,82,104,30,39,35,60,10,10,15,12,13,2176,455,3,4,High,High,4,Normal (170-),86,84,79,88,40,78
,T. Kroos CM CDM,26,88,89,"Real Madrid
2014 ~ 2022",182521,"182cm / 6'0""",78kg / 172lbs,Right,85,CM,1,"Jul 17, 2014",,€59.5M,€325K,€0,385,85,75,54,89,82,425,78,85,84,93,85,309,55,37,70,85,62,361,87,34,78,74,88,374,60,77,76,88,73,85,203,63,75,65,51,10,11,13,7,10,2108,431,5,3,Medium,Medium,4,Normal (170-185),45,80,88,79,69,70
,D. Godín CB,30,88,88,"Atlético Madrid
2010 ~ 2019",182493,"186cm / 6'1""",78kg / 172lbs,Right,86,CB,0,"Aug 1, 2010",,€38M,€120K,€0,315,55,42,92,79,47,299,53,49,51,70,76,335,62,67,63,85,58,348,67,89,69,80,43,324,86,88,48,52,50,80,262,87,86,89,49,6,8,15,5,15,1932,408,3,2,Medium,High,3,Lean (185+),65,48,65,63,88,79
,M. Hummels CB,27,88,88,"FC Bayern München
2016 ~ 2021",178603,"191cm / 6'3""",92kg / 203lbs,Right,85,CB,0,"Jul 1, 2016",,€43M,€200K,€0,347,64,55,90,78,60,345,68,65,53,82,77,334,62,65,64,85,58,341,71,68,66,85,51,358,66,89,56,79,68,91,264,85,92,87,42,15,6,10,5,6,2031,432,3,2,High,Medium,4,Normal (185+),64,58,74,71,89,76
,H. Lloris GK,29,88,88,"Tottenham Hotspur
2012 ~ 2022",167948,"188cm / 6'2""",82kg / 181lbs,Left,85,GK,0,"Aug 1, 2012",,€45M,€170K,€0,71,13,10,10,27,11,96,10,11,10,31,34,321,65,63,55,84,54,195,23,74,41,43,14,138,31,27,10,30,40,64,40,12,10,18,414,87,87,68,82,90,1275,478,1,1,Medium,Medium,4,Lean (185+),87,87,68,90,64,82
,G. Chiellini CB,31,88,88,"Juventus
2005 ~ 2018",138956,"187cm / 6'2""",85kg / 187lbs,Left,85,CB,0,"Jul 1, 2005",,€34M,€225K,€0,271,58,33,80,55,45,261,56,60,31,59,55,350,69,79,59,78,65,376,78,89,69,91,49,306,90,88,28,50,50,78,274,92,92,90,15,3,3,2,4,3,1853,408,2,2,Low,High,4,Normal (185+),75,46,54,58,90,85
,Pepe CB,33,88,88,"Real Madrid
2007 ~ 2017",120533,"188cm / 6'2""",81kg / 179lbs,Right,85,CB,0,"Jul 1, 2007",,€23.5M,€300K,€0,267,46,46,82,70,23,272,58,44,47,61,62,336,65,75,63,84,49,343,63,76,64,84,56,327,94,88,40,48,57,68,264,88,87,89,47,8,15,5,9,10,1856,408,3,2,Medium,High,4,Lean (185+),71,51,57,61,87,81
,P. Čech GK,34,88,88,"Arsenal
2015 ~ 2019",48940,"196cm / 6'5""",90kg / 198lbs,Left,85,GK,0,"Jun 29, 2015",,€34M,€190K,€0,102,19,12,19,35,17,99,12,13,19,33,22,253,40,44,49,86,34,180,21,51,32,65,11,129,17,23,13,53,23,70,36,11,13,12,419,83,90,77,84,85,1218,461,3,1,Medium,Medium,4,Normal (185+),83,90,77,85,42,84
,G. Buffon GK,38,88,88,"Juventus
2001 ~ 2018",1179,"191cm / 6'3""",94kg / 207lbs,Right,85,GK,0,"Jul 1, 2001",,€9M,€120K,€0,95,13,15,13,37,17,122,26,20,13,35,28,276,49,43,55,80,49,235,39,75,39,69,13,150,38,28,12,50,22,80,32,10,11,11,417,87,88,68,90,84,1327,463,2,1,Medium,Medium,4,Lean (185+),87,88,68,84,46,90
,Iniesta CM,32,88,88,"FC Barcelona
2002 ~ 2018",41,"171cm / 5'7""",68kg / 150lbs,Right,87,CAM,0,"Jul 1, 2002",,€39.5M,€325K,€0,367,77,70,54,92,74,419,90,80,70,86,93,399,73,72,81,88,85,310,65,54,62,58,71,373,58,66,84,94,71,88,170,57,57,56,45,6,13,6,13,7,2083,436,4,4,High,Medium,4,Normal (170-),72,70,87,90,58,59
,J. Oblak GK,23,87,91,"Atlético Madrid
2014 ~ 2021",200389,"186cm / 6'1""",87kg / 192lbs,Right,85,GK,4,"Jul 17, 2014",,€50.5M,€60K,€0,81,13,11,15,29,13,81,12,13,14,26,16,303,43,60,67,84,49,229,22,76,41,78,12,130,34,19,11,55,11,55,44,14,12,18,419,83,90,77,87,82,1287,471,3,1,Medium,Medium,3,Normal (185+),83,90,77,82,52,87
,J. Rodríguez CAM CM RM,24,87,90,"Real Madrid
2014 ~ 2020",198710,"180cm / 5'11""",75kg / 165lbs,Left,84,CAM,3,"Jul 22, 2014",,€58M,€225K,€0,407,88,82,62,84,91,422,84,87,86,80,85,391,77,75,82,84,73,369,86,54,68,70,91,367,65,55,80,86,81,79,97,25,42,30,64,15,15,15,5,14,2117,438,3,4,Medium,Low,4,Normal (170-185),76,85,85,84,40,68
,P. Aubameyang ST,27,87,87,"Borussia Dortmund
2013 ~ 2020",188567,"187cm / 6'2""",80kg / 176lbs,Right,85,ST,0,"Jul 4, 2013",,€47.5M,€120K,€0,407,77,88,79,77,86,380,82,78,74,64,82,427,95,96,80,87,69,393,81,77,79,77,79,336,43,48,89,77,79,79,89,28,25,36,48,6,9,15,9,9,2080,444,4,3,Medium,Low,3,Lean (185+),96,84,75,81,37,71
,L. Bonucci CB,29,87,87,"Juventus
2010 ~ 2021",184344,"190cm / 6'3""",85kg / 187lbs,Right,85,CB,0,"Jul 1, 2010",,€34M,€180K,€0,298,44,37,84,75,58,343,68,56,61,83,75,340,65,75,61,84,55,382,74,85,73,85,65,354,82,90,38,74,70,82,260,84,88,88,13,2,2,3,2,4,1990,430,3,2,Low,High,3,Lean (185+),71,53,68,70,87,81
,A. Vidal CM CDM,29,87,87,"FC Bayern München
2015 ~ 2019",181872,"180cm / 5'11""",75kg / 165lbs,Right,85,CDM,0,"Jul 28, 2015",,€41.5M,€180K,€0,396,76,77,81,84,78,385,76,76,68,82,83,392,77,74,75,89,77,423,84,82,93,79,85,424,91,89,80,80,84,86,249,76,89,84,16,4,2,4,2,4,2285,484,4,3,High,High,4,Normal (170-185),75,81,80,79,84,85
,I. Rakitić CM,28,87,87,"FC Barcelona
2014 ~ 2021",168651,"184cm / 6'0""",78kg / 172lbs,Right,84,CM,0,"Jun 24, 2014",,€43.5M,€275K,€0,389,81,83,58,87,80,435,84,88,84,92,87,348,67,65,71,79,66,362,84,51,76,63,88,381,67,69,80,87,78,81,170,52,65,53,51,14,11,12,5,9,2136,444,3,3,Medium,Medium,4,Normal (170-185),66,84,86,82,60,66
,David Silva CAM CM LM,30,87,87,"Manchester City
2010 ~ 2019",168542,"173cm / 5'8""",67kg / 148lbs,Left,84,CAM,0,"Jul 14, 2010",,€41.5M,€225K,€0,380,85,70,54,91,80,413,85,83,77,78,90,401,72,65,92,84,88,340,71,66,73,56,74,342,51,41,81,92,77,92,94,23,42,29,5,1,1,1,1,1,1975,410,2,4,High,Low,4,Normal (170-185),68,72,87,87,36,60
,S. Handanovič GK,31,87,87,"Inter
2012 ~ 2019",162835,"193cm / 6'4""",89kg / 196lbs,Right,85,GK,0,"Jul 1, 2012",,€35.5M,€90K,€0,80,12,10,10,36,12,102,18,12,14,34,24,272,54,57,42,83,36,231,22,78,41,71,19,123,25,22,12,41,23,72,40,17,10,13,416,86,89,69,86,86,1264,472,2,1,Medium,Medium,3,Normal (185+),86,89,69,86,56,86
,Piqué CB,29,87,87,"FC Barcelona
2008 ~ 2019",152729,"194cm / 6'4""",85kg / 187lbs,Right,84,CB,0,"Jul 1, 2008",,€34M,€250K,€0,342,57,64,83,81,57,318,59,58,43,80,78,315,56,73,58,84,44,339,62,74,69,83,51,349,72,88,58,62,69,76,259,86,87,86,58,10,11,14,15,8,1980,423,3,2,High,Medium,4,Normal (185+),65,61,69,65,86,77
,A. Robben RM RW,32,87,87,"FC Bayern München
2009 ~ 2018",9014,"180cm / 5'11""",80kg / 176lbs,Left,86,CAM,0,"Aug 28, 2009",,€34M,€170K,€0,385,80,84,51,84,86,420,91,86,83,71,89,440,87,86,89,87,91,368,86,61,68,65,88,334,47,39,85,83,80,86,81,29,26,26,49,10,8,11,5,15,2077,436,2,4,High,Low,4,Normal (170-185),86,85,81,90,32,62
,P. Dybala ST CAM,22,86,93,"Juventus
2015 ~ 2022",211110,"177cm / 5'10""",73kg / 161lbs,Left,87,CAM,7,"Jul 1, 2015",,€56.5M,€180K,€0,405,78,88,68,83,88,421,91,88,84,67,91,437,91,85,91,85,85,393,82,75,83,65,88,327,48,24,85,84,86,82,54,14,20,20,26,5,4,4,5,8,2063,436,3,4,High,Medium,3,Normal (170-185),88,87,80,90,24,67
,M. Verratti CM CDM,23,86,90,"Paris Saint Germain
2012 ~ 2021",199556,"165cm / 5'5""",60kg / 132lbs,Right,84,CM,4,"Jul 1, 2012",,€50.5M,€130K,€0,333,72,52,55,90,64,399,88,73,64,87,87,404,72,64,87,87,94,321,66,64,77,56,58,393,89,83,71,86,64,91,237,76,82,79,64,12,12,15,15,10,2151,442,4,4,High,High,3,Normal (170-),68,58,83,88,77,68
,D. Alaba LB CB CM,24,86,89,"FC Bayern München
2010 ~ 2021",197445,"180cm / 5'11""",76kg / 168lbs,Left,84,LB,3,"Feb 10, 2010",,€41.5M,€140K,€0,371,82,63,75,83,68,403,79,78,83,80,83,415,86,86,82,84,77,404,83,82,87,69,83,389,69,85,77,78,80,79,247,81,83,83,50,5,7,14,15,9,2279,477,4,3,High,Medium,4,Lean (170-185),86,73,81,81,82,74
,H. Mkhitaryan RM LM CAM,27,86,86,"Manchester United
2016 ~ 2020",192883,"177cm / 5'10""",75kg / 165lbs,Right,84,CAM,0,"Jul 6, 2016",,€39M,€200K,€0,376,80,77,53,85,81,396,87,83,64,73,89,429,88,84,89,83,85,382,87,72,85,63,75,377,69,68,83,85,72,67,157,49,53,55,42,5,11,14,5,7,2159,459,5,4,High,Medium,3,Normal (170-185),86,79,81,88,55,70
,B. Leno GK,24,86,89,"Bayer 04 Leverkusen
2012 ~ 2018",192563,"190cm / 6'3""",83kg / 183lbs,Right,84,GK,3,"Jan 1, 2012",,€42.5M,€60K,€0,78,9,9,13,37,10,88,16,9,8,33,22,275,46,52,52,81,44,221,23,73,43,68,14,133,28,22,7,53,23,62,41,8,15,18,414,85,85,76,85,83,1250,463,4,1,Medium,Medium,3,Normal (185+),85,85,76,83,49,85
,C. Eriksen CAM RM LM,24,86,90,"Tottenham Hotspur
2013 ~ 2020",190460,"180cm / 5'11""",76kg / 168lbs,Right,84,CAM,4,"Aug 30, 2013",,€52M,€150K,€0,371,85,76,52,89,69,428,84,85,87,86,86,395,79,74,78,82,82,360,80,57,88,54,81,336,44,55,81,89,67,82,116,38,56,22,43,9,14,7,7,6,2049,432,5,4,High,Medium,3,Normal (170-185),76,77,87,84,47,61
,T. Müller CF RW CAM ST,26,86,86,"FC Bayern München
2008 ~ 2021",189596,"186cm / 6'1""",75kg / 165lbs,Right,83,CF,0,"Aug 10, 2008",,€41.5M,€190K,€0,407,74,87,82,81,83,365,75,81,59,68,82,396,76,79,77,92,72,395,77,81,90,67,80,349,57,58,93,81,60,83,116,31,41,44,52,6,7,11,14,14,2080,432,4,3,High,High,4,Lean (185+),78,82,77,78,46,71
,Sergio Busquets CDM CM,27,86,86,"FC Barcelona
2008 ~ 2021",189511,"189cm / 6'2""",76kg / 168lbs,Right,83,CDM,0,"Sep 1, 2008",,€32M,€225K,€0,322,62,60,68,88,44,367,74,66,68,79,80,281,53,33,58,82,55,346,61,66,88,77,54,392,85,86,77,84,60,82,246,81,85,80,48,5,8,13,9,13,2002,417,3,3,Medium,Medium,4,Lean (185+),42,59,79,74,82,81
,Thiago CM CAM CDM LM,25,86,88,"FC Bayern München
2013 ~ 2021",189509,"174cm / 5'9""",70kg / 154lbs,Right,85,CAM,2,"Jul 14, 2013",,€46M,€170K,€0,379,72,69,58,90,90,428,90,83,77,87,91,404,77,68,90,84,85,365,75,75,74,59,82,374,57,74,83,85,75,81,175,49,64,62,46,6,11,7,9,13,2171,445,3,5,Medium,Medium,3,Normal (170-185),72,75,84,90,61,63
,Jordi Alba LB,27,86,86,"FC Barcelona
2012 ~ 2020",189332,"170cm / 5'7""",68kg / 150lbs,Left,84,LWB,0,"Jul 1, 2012",,€31.5M,€225K,€0,358,83,73,63,79,60,375,80,77,64,70,84,444,93,93,90,82,86,367,64,81,90,66,66,362,75,83,77,68,59,75,248,81,84,83,60,13,15,13,6,13,2214,476,3,3,High,Medium,3,Normal (170-),93,69,75,83,81,75
,Coutinho LW LM CAM,24,86,89,"Liverpool
2013 ~ 2022",189242,"171cm / 5'7""",68kg / 150lbs,Right,85,CAM,3,"Jan 30, 2013",,€50.5M,€180K,€0,357,77,73,47,85,75,417,88,84,79,78,88,429,89,77,91,81,91,363,79,59,79,61,85,319,55,30,83,87,64,79,108,24,44,40,48,12,7,9,14,6,2041,428,4,4,High,High,3,Lean (170-185),82,77,82,88,35,64
,Á. Di María RW CM CAM,28,86,86,"Paris Saint Germain
2015 ~ 2019",183898,"180cm / 5'11""",75kg / 165lbs,Left,84,LM,0,"Aug 6, 2015",,€39M,€170K,€0,375,88,74,53,83,77,411,87,83,72,82,87,421,86,86,90,80,79,380,87,72,78,64,79,354,76,38,82,85,73,80,152,37,59,56,51,10,7,11,12,11,2144,452,2,5,High,Medium,4,Lean (170-185),86,78,84,87,47,70
,Diego Costa ST,27,86,86,"Chelsea
2014 ~ 2019",179844,"188cm / 6'2""",85kg / 187lbs,Right,83,ST,0,"Jul 15, 2014",,€41M,€250K,€0,385,65,89,82,67,82,335,79,62,59,52,83,349,76,78,58,85,52,396,84,64,85,91,72,371,93,40,88,74,76,84,101,28,39,34,55,11,13,12,8,11,1992,432,4,3,High,Medium,4,Normal (185+),77,84,65,77,40,89
,E. Cavani ST,29,86,86,"Paris Saint Germain
2013 ~ 2020",179813,"184cm / 6'0""",71kg / 157lbs,Right,83,ST,0,"Jul 16, 2013",,€38.5M,€170K,€0,402,70,85,88,75,84,359,80,75,74,50,80,381,76,79,82,85,59,415,85,88,90,74,78,380,82,48,89,77,84,81,96,24,45,27,53,12,5,13,13,10,2086,434,3,3,High,High,4,Lean (170-185),78,84,71,79,42,80
,R. Nainggolan CM CAM,28,86,86,"Roma
2014 ~ 2021",178518,"176cm / 5'9""",65kg / 143lbs,Right,84,CDM,0,"Jan 7, 2014",,€37.5M,€130K,€0,367,73,76,59,84,75,387,80,73,68,81,85,411,81,78,81,87,84,418,84,76,94,78,86,401,88,86,88,76,63,85,251,78,85,88,55,11,11,14,8,11,2290,484,3,3,High,High,3,Stocky (170-185),79,80,78,82,81,84
,Marcelo LB,28,86,86,"Real Madrid
2007 ~ 2020",176676,"174cm / 5'9""",75kg / 165lbs,Left,84,LWB,0,"Jan 1, 2007",,€30M,€250K,€0,359,87,67,70,81,54,393,83,80,67,76,87,401,77,80,77,85,82,385,83,77,82,77,66,376,84,83,75,75,59,76,251,80,84,87,36,12,5,5,5,9,2201,474,4,4,High,Medium,4,Normal (170-185),79,69,80,84,82,80
,C. Marchisio CM CDM,30,86,86,"Juventus
2007 ~ 2020",173210,"180cm / 5'11""",73kg / 161lbs,Right,84,CM,0,"Jun 1, 2007",,€35M,€190K,€0,370,76,63,68,87,76,410,84,78,78,85,85,404,79,79,81,86,79,385,82,67,83,71,82,404,78,82,82,84,78,84,228,72,78,78,17,4,3,4,2,4,2218,470,4,4,High,High,3,Normal (170-185),79,73,83,84,76,75
,M. Hamšik CM,28,86,86,"Napoli
2007 ~ 2020",171877,"183cm / 6'0""",79kg / 174lbs,Right,84,CAM,0,"Jul 1, 2007",,€37.5M,€130K,€0,396,78,78,74,87,79,404,85,80,72,81,86,378,75,77,76,87,63,387,79,72,85,69,82,367,56,70,85,86,70,84,193,60,71,62,46,8,6,4,14,14,2171,459,4,3,High,Medium,3,Normal (170-185),76,79,83,83,67,71
,Miranda CB,31,86,86,"Inter
Jun 30, 2017 On loan",168609,"186cm / 6'1""",78kg / 172lbs,Right,84,CB,0,"Jul 3, 2015","Jun 30, 2017",€25.5M,€110K,€0,291,48,43,84,65,51,265,62,32,39,65,67,346,68,76,62,82,58,339,70,82,65,81,41,316,83,88,43,53,49,80,268,89,90,89,53,12,6,10,13,12,1878,407,3,2,Medium,Medium,3,Lean (185+),72,49,56,64,89,77
